%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153484160673732,8705,855548000000,,845547711.0,845547733.0,845547759.0,845548474.0
1629153484173560633,8706,855548000000,,845547711.0,845547733.0,845547759.0,845548474.0
1629153484186417920,8707,855568000000,,845567520.0,845567542.0,845567567.0,845568284.0
1629153484200780163,8708,855568000000,,845567520.0,845567542.0,845567567.0,845568284.0
1629153484213719235,8709,855568000000,,845567520.0,845567542.0,845567567.0,845568284.0
1629153484252383428,8710,855578000000,,845577853.0,845577875.0,845577901.0,845578611.0
1629153484304716472,8711,855588000000,,845587395.0,845587420.0,845587456.0,845588170.0
1629153484330075970,8712,855598000000,,845597064.0,845597086.0,845597111.0,845597827.0
1629153484342957702,8713,855598000000,,845597064.0,845597086.0,845597111.0,845597827.0
1629153484355823510,8714,855608000000,,845606972.0,845606993.0,845607019.0,845607734.0
1629153484368807491,8715,855628000000,,845627039.0,845627061.0,845627086.0,845627803.0
1629153484382104643,8716,855628000000,,845627039.0,845627061.0,845627086.0,845627803.0
1629153484394997410,8717,855648000000,,845646760.0,845646782.0,845646808.0,845647524.0
1629153484396740248,8718,855668000000,,845666640.0,845666662.0,845666687.0,845667403.0
1629153484409570227,8719,855688000000,,845686383.0,845686405.0,845686430.0,845687146.0
1629153484435071923,8720,855718000000,,845716101.0,845716123.0,845716148.0,845716865.0
1629153484447905743,8721,855768000000,,845765625.0,845765647.0,845765672.0,845766387.0
1629153484460898594,8722,855779000000,,845775533.0,845775555.0,845775584.0,845776313.0
1629153484473690509,8723,855779000000,,845775533.0,845775555.0,845775584.0,845776313.0
1629153484486499954,8724,855788000000,,845785435.0,845785461.0,845785487.0,845786200.0
1629153484488194531,8725,855798000000,,845794930.0,845794952.0,845794977.0,845794979.0
1629153484502330905,8726,855818000000,,845814906.0,845814928.0,845814954.0,845814955.0
1629153484527862773,8727,855838000000,,845834051.0,845834071.0,845834096.0,845834097.0
1629153484541899762,8728,855838000000,,845834051.0,845834071.0,845834096.0,845834097.0
1629153484593823043,8729,855858000000,,845854373.0,845854395.0,845854420.0,845854422.0
1629153484621953104,8730,855858000000,,845854373.0,845854395.0,845854420.0,845854422.0
1629153484634814511,8731,855878000000,,845873609.0,845873631.0,845873656.0,845873658.0
1629153484763661653,8732,855908000000,,845903891.0,845903913.0,845903939.0,845903940.0
1629153484866161243,8733,855918000000,,845912618.0,845912637.0,845912663.0,845913387.0
1629153484878934580,8734,855928000000,,845923860.0,845923882.0,845923907.0,845923909.0
1629153484892455506,8735,855928000000,,845923860.0,845923882.0,845923907.0,845923909.0
1629153484894205258,8736,855958000000,,845953070.0,845953092.0,845953117.0,845953119.0
1629153484932197990,8737,855968000000,,845962768.0,845962790.0,845962817.0,845962820.0
1629153484982930115,8738,855988000000,,845982557.0,845982576.0,845982602.0,845982603.0
1629153484995858153,8739,855998000000,,845992476.0,845992496.0,845992521.0,845992523.0
1629153484997658820,8740,856018000000,,846012280.0,846012299.0,846012325.0,846012326.0
1629153485010456462,8741,856038000000,,846031094.0,846031117.0,846031144.0,846031869.0
1629153485023262625,8742,856038000000,,846031094.0,846031117.0,846031144.0,846031869.0
1629153485036079683,8743,856058000000,,846052099.0,846052137.0,846052162.0,846052164.0
1629153485062468442,8744,856078000000,,846071711.0,846071759.0,846071785.0,846071786.0
1629153485102328400,8745,856088000000,,846081613.0,846081635.0,846081660.0,846081662.0
1629153485128107020,8746,856098000000,,846091493.0,846091515.0,846091540.0,846091542.0
1629153485154836539,8747,856108000000,,846101477.0,846101497.0,846101522.0,846101524.0
1629153485167757382,8748,856118000000,,846111336.0,846111386.0,846111411.0,846111413.0
1629153485181976729,8749,856118000000,,846111336.0,846111386.0,846111411.0,846111413.0
1629153485194898340,8750,856138000000,,846131344.0,846131376.0,846131401.0,846131403.0
1629153485196613870,8751,856158000000,,846150959.0,846150979.0,846151004.0,846151005.0
1629153485209407601,8752,856169000000,,846161840.0,846161859.0,846161885.0,846162598.0
1629153485222282907,8753,856169000000,,846161840.0,846161859.0,846161885.0,846162598.0
1629153485247685358,8754,856178000000,,846170763.0,846170808.0,846170833.0,846170835.0
1629153485260549909,8755,856188000000,,846180678.0,846180697.0,846180723.0,846180724.0
1629153485273439393,8756,856188000000,,846180678.0,846180697.0,846180723.0,846180724.0
1629153485286347874,8757,856198000000,,846190587.0,846190607.0,846190634.0,846190635.0
1629153485288073671,8758,856228000000,,846219298.0,846219320.0,846219348.0,846220073.0
1629153485302046195,8759,856238000000,,846229410.0,846229436.0,846229462.0,846230186.0
1629153485314896848,8760,856248000000,,846240666.0,846240686.0,846240712.0,846240713.0
1629153485327944035,8761,856278000000,,846268248.0,846268268.0,846268293.0,846269030.0
1629153485342047234,8762,856278000000,,846268248.0,846268268.0,846268293.0,846269030.0
1629153485367663751,8763,856288000000,,846278727.0,846278752.0,846278780.0,846279506.0
1629153485381754448,8764,856288000000,,846278727.0,846278752.0,846278780.0,846279506.0
1629153485394593925,8765,856298000000,,846288785.0,846288807.0,846288832.0,846289587.0
1629153485396247086,8766,856328000000,,846318558.0,846318585.0,846318610.0,846319335.0
1629153485409120646,8767,856348000000,,846338551.0,846338573.0,846338598.0,846339341.0
1629153485422150793,8768,856348000000,,846338551.0,846338573.0,846338598.0,846339341.0
1629153485447812776,8769,856368000000,,846357713.0,846357733.0,846357758.0,846358498.0
1629153485461994198,8770,856368000000,,846357713.0,846357733.0,846357758.0,846358498.0
1629153485475032656,8771,856378000000,,846367875.0,846367900.0,846367929.0,846368656.0
1629153485488112948,8772,856388000000,,846378170.0,846378190.0,846378215.0,846378941.0
1629153485502617879,8773,856398000000,,846387715.0,846387738.0,846387765.0,846388492.0
1629153485515872497,8774,856408000000,,846397253.0,846397273.0,846397298.0,846398038.0
1629153485555101852,8775,856448000000,,846437213.0,846437237.0,846437265.0,846437996.0
1629153485568183402,8776,856458000000,,846446748.0,846446770.0,846446795.0,846447536.0
1629153485582317890,8777,856458000000,,846446748.0,846446770.0,846446795.0,846447536.0
1629153485609190655,8778,856469000000,,846458018.0,846458039.0,846458068.0,846458069.0
